post_id,post_text,likes,comments,shares,total_engagement,engagement_score,text_length,word_count,line_count,avg_word_length,exclamation_count,question_count,emoji_count,hashtag_count,url_count,mention_count,has_cta,has_question,uppercase_ratio,comment_like_ratio,share_like_ratio,share_comment_ratio,engagement_intensity
1656,💼 Improved responsive typography scaling and layout structure across UI modules. ⚙️ Tech Stack • HTML • CSS #ResponsiveDesign #FrontendLearning,10.0,0.0,0.0,10.0,Low,143,20,1,6.2,0,0,2,2,0,0,0,0,0.11188811188811189,0.0,0.0,0.0,0.0
2418,🚀 Conducted predictive retention analysis identifying high-value growth strategies. Repository link in comments. Exploring analytics internships. ⚙️ Tech Stack • Python • Pandas • Scikit-learn • Matplotlib #DataAnalytics #OpenToWork,500.0,60.0,25.0,695.0,High,232,29,1,7.0344827586206895,0,0,2,2,0,0,1,0,0.0603448275862069,0.11976047904191617,0.0499001996007984,0.4098360655737705,0.16966067864271456
1616,🚀 Built a real-time analytics monitoring dashboard integrating streaming APIs and optimized visualization pipelines. This strengthened my asynchronous data architecture skills. Demo link below. Open to internship opportunities and feedback. ⚙️ Tech Stack • React • WebSocket • JavaScript • GitHub #APIDevelopment #FrontendProjects #OpenToWork,500.0,60.0,25.0,695.0,High,342,44,1,6.795454545454546,0,0,2,3,0,0,1,0,0.07309941520467836,0.11976047904191617,0.0499001996007984,0.4098360655737705,0.16966067864271456
2206,💼 Improved responsive container systems ensuring layout stability across breakpoints. ⚙️ Tech Stack • HTML • CSS #FrontendLearning,19.0,0.0,0.0,19.0,Low,130,18,1,6.277777777777778,0,0,2,1,0,0,0,0,0.09230769230769231,0.0,0.0,0.0,0.0
2315,💼 Strengthened model validation workflows using cross-validation and feature normalization. ⚙️ Tech Stack • Python • NumPy #DataScienceBasics,21.0,0.0,0.0,21.0,Low,141,18,1,6.888888888888889,0,0,2,1,0,0,0,0,0.06382978723404255,0.0,0.0,0.0,0.0
705,💼 Practiced efficient NumPy vectorized computations for optimized analysis workflows. ⚙️ Tech Stack • Python • NumPy #DataScienceBasics #LearningJourney,18.0,0.0,0.0,18.0,Low,152,19,1,7.052631578947368,0,0,2,2,0,0,0,0,0.08552631578947369,0.0,0.0,0.0,0.0
1530,"🚀 Successfully delivered a scalable enterprise-grade digital ecosystem integrating frontend UI, backend APIs, optimized database schemas, CI/CD pipelines, monitoring systems, and structured documentation. All project links in comments. I’m actively seeking internship opportunities in software development and would greatly appreciate feedback. ⚙️ Tech Stack • React • Node.js • Express • MongoDB • Cloud Deployment • Git #FullStackDeveloper #OpenToWork",500.0,60.0,25.0,695.0,High,453,59,1,6.694915254237288,0,0,2,2,0,0,1,0,0.0640176600441501,0.11976047904191617,0.0499001996007984,0.4098360655737705,0.16966067864271456
1871,🚀 Built a reusable data export utility supporting CSV and JSON formats with optimized performance. Project link in comments. Open to frontend internship opportunities. ⚙️ Tech Stack • React • JavaScript • CSS • GitHub #FrontendDevelopment #OpenToWork,420.0,60.0,25.0,615.0,Medium,250,37,1,5.783783783783784,0,0,2,2,0,0,1,0,0.1,0.14251781472684086,0.05938242280285035,0.4098360655737705,0.20190023752969122
1216,🚀 Built a real-time analytics dashboard integrating streaming APIs and optimized rendering workflows for performance efficiency. This strengthened my asynchronous data management skills. Demo link below. Open to internship opportunities and feedback. ⚙️ Tech Stack • React • WebSocket • JavaScript • GitHub #APIDevelopment #FrontendProjects #OpenToWork,470.0,60.0,25.0,665.0,Medium,352,46,1,6.673913043478261,0,0,2,3,0,0,1,0,0.07102272727272728,0.12738853503184713,0.05307855626326964,0.4098360655737705,0.18046709129511676
2398,💡 Conducted exploratory segmentation modeling uncovering high-growth customer segments. Repository link below. Open to analytics internship roles. ⚙️ Tech Stack • Python • Pandas • Seaborn • Matplotlib #DataScience #OpenToWork,500.0,60.0,25.0,695.0,High,226,30,1,6.566666666666666,0,0,2,2,0,0,1,0,0.061946902654867256,0.11976047904191617,0.0499001996007984,0.4098360655737705,0.16966067864271456
